1657806535.038634 client started (72235): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1657806535.038683 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:45:05 PDT 2022; root:xnu-8020.101.4~15/RELEASE_X86_64
1657806535.038705 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1657806535.041681 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041687 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041693 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041699 sending message 112 to peer 0x7fdb30008000 (11 bytes)
1657806535.041705 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041711 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041717 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041723 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041728 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041734 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041740 sending message 112 to peer 0x7fdb30008000 (11 bytes)
1657806535.041746 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041752 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041758 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041764 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041770 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041776 sending message 112 to peer 0x7fdb30008000 (21 bytes)
1657806535.041784 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041790 sending message 112 to peer 0x7fdb30008000 (9 bytes)
1657806535.041796 sending message 112 to peer 0x7fdb30008000 (6 bytes)
1657806535.041802 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041808 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041814 sending message 112 to peer 0x7fdb30008000 (24 bytes)
1657806535.041828 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041835 sending message 112 to peer 0x7fdb30008000 (9 bytes)
1657806535.041841 sending message 112 to peer 0x7fdb30008000 (70 bytes)
1657806535.041847 sending message 112 to peer 0x7fdb30008000 (69 bytes)
1657806535.041853 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041859 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041865 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041871 sending message 112 to peer 0x7fdb30008000 (24 bytes)
1657806535.041877 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041883 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041889 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041895 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041901 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041907 sending message 112 to peer 0x7fdb30008000 (15 bytes)
1657806535.041913 sending message 112 to peer 0x7fdb30008000 (5 bytes)
1657806535.041920 sending message 104 to peer 0x7fdb30008000 (0 bytes)
1657806535.041927 sending message 110 to peer 0x7fdb30008000 (0 bytes)
1657806535.041933 sending message 107 to peer 0x7fdb30008000 (4 bytes)
1657806535.041939 sending message 105 to peer 0x7fdb30008000 (60 bytes)
1657806535.041945 sending message 105 to peer 0x7fdb30008000 (66 bytes)
1657806535.041951 sending message 105 to peer 0x7fdb30008000 (27 bytes)
1657806535.041957 sending message 105 to peer 0x7fdb30008000 (15 bytes)
1657806535.041963 sending message 105 to peer 0x7fdb30008000 (22 bytes)
1657806535.041969 sending message 105 to peer 0x7fdb30008000 (14 bytes)
1657806535.041975 sending message 105 to peer 0x7fdb30008000 (17 bytes)
1657806535.041981 sending message 105 to peer 0x7fdb30008000 (58 bytes)
1657806535.041987 sending message 105 to peer 0x7fdb30008000 (15 bytes)
1657806535.041992 sending message 105 to peer 0x7fdb30008000 (43 bytes)
1657806535.041998 sending message 105 to peer 0x7fdb30008000 (24 bytes)
1657806535.042004 sending message 105 to peer 0x7fdb30008000 (28 bytes)
1657806535.042010 sending message 105 to peer 0x7fdb30008000 (23 bytes)
1657806535.042028 sending message 105 to peer 0x7fdb30008000 (211 bytes)
1657806535.042035 sending message 105 to peer 0x7fdb30008000 (19 bytes)
1657806535.042041 sending message 105 to peer 0x7fdb30008000 (20 bytes)
1657806535.042047 sending message 105 to peer 0x7fdb30008000 (22 bytes)
1657806535.042053 sending message 105 to peer 0x7fdb30008000 (20 bytes)
1657806535.042059 sending message 105 to peer 0x7fdb30008000 (22 bytes)
1657806535.042065 sending message 105 to peer 0x7fdb30008000 (57 bytes)
1657806535.042071 sending message 105 to peer 0x7fdb30008000 (15 bytes)
1657806535.042077 sending message 105 to peer 0x7fdb30008000 (19 bytes)
1657806535.042082 sending message 105 to peer 0x7fdb30008000 (18 bytes)
1657806535.042088 sending message 105 to peer 0x7fdb30008000 (54 bytes)
